constituency_name,parliament_seat_name,total_2021_electors,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
Bangaon Uttar,Bongaon,251387,81.04%,Bharatiya Janata Party,National Democratic Alliance,Shantanu Thakur,719505,48.19,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biswajit Das,645812,43.25,|73693,|4.94
Bangaon Dakshin,Bongaon,248278,81.04%,Bharatiya Janata Party,National Democratic Alliance,Shantanu Thakur,719505,48.19,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biswajit Das,645812,43.25,|73693,|4.94
Gaighata,Bongaon,252053,81.04%,Bharatiya Janata Party,National Democratic Alliance,Shantanu Thakur,719505,48.19,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biswajit Das,645812,43.25,|73693,|4.94
Swarupnagar,Bongaon,246109,81.04%,Bharatiya Janata Party,National Democratic Alliance,Shantanu Thakur,719505,48.19,Trinamool Congress,Indian National Developmental Inclusive Alliance,Biswajit Das,645812,43.25,|73693,|4.94
Baduria,Basirhat,243747,84.31%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Haji Nurul Islam,803762,52.76,Bharatiya Janata Party,National Democratic Alliance,Rekha Patra,470215,30.87,|333547,|21.89
Habra,Barasat,242425,80.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kakoli Ghosh Dastidar,692010,45.15,Bharatiya Janata Party,National Democratic Alliance,Swapan Majumder,577821,37.7,|114189,|7.45
Ashoknagar,Barasat,257180,80.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kakoli Ghosh Dastidar,692010,45.15,Bharatiya Janata Party,National Democratic Alliance,Swapan Majumder,577821,37.7,|114189,|7.45
Amdanga,Barrackpore,242462,75.41%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Partha Bhowmick,520231,45.56,Bharatiya Janata Party,National Democratic Alliance,Arjun Singh,455793,39.92,|64438,|5.64
Bijpur,Barrackpore,192316,75.41%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Partha Bhowmick,520231,45.56,Bharatiya Janata Party,National Democratic Alliance,Arjun Singh,455793,39.92,|64438,|5.64
Naihati,Barrackpore,193930,75.41%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Partha Bhowmick,520231,45.56,Bharatiya Janata Party,National Democratic Alliance,Arjun Singh,455793,39.92,|64438,|5.64
Bhatpara,Barrackpore,154037,75.41%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Partha Bhowmick,520231,45.56,Bharatiya Janata Party,National Democratic Alliance,Arjun Singh,455793,39.92,|64438,|5.64
Jagatdal,Barrackpore,233871,75.41%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Partha Bhowmick,520231,45.56,Bharatiya Janata Party,National Democratic Alliance,Arjun Singh,455793,39.92,|64438,|5.64
Noapara,Barrackpore,262133,75.41%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Partha Bhowmick,520231,45.56,Bharatiya Janata Party,National Democratic Alliance,Arjun Singh,455793,39.92,|64438,|5.64
Barrackpur,Barrackpore,215336,75.41%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Partha Bhowmick,520231,45.56,Bharatiya Janata Party,National Democratic Alliance,Arjun Singh,455793,39.92,|64438,|5.64
Khardaha,Dum Dum,232619,73.81%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saugata Roy,528579,41.95,Bharatiya Janata Party,National Democratic Alliance,Shilbhadra Dutta,457919,36.34,|70660,|5.61
Dum Dum Uttar,Dum Dum,273015,73.81%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saugata Roy,528579,41.95,Bharatiya Janata Party,National Democratic Alliance,Shilbhadra Dutta,457919,36.34,|70660,|5.61
Panihati,Dum Dum,230748,73.81%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saugata Roy,528579,41.95,Bharatiya Janata Party,National Democratic Alliance,Shilbhadra Dutta,457919,36.34,|70660,|5.61
Kamarhati,Dum Dum,197013,73.81%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saugata Roy,528579,41.95,Bharatiya Janata Party,National Democratic Alliance,Shilbhadra Dutta,457919,36.34,|70660,|5.61
Baranagar,Dum Dum,217774,73.81%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saugata Roy,528579,41.95,Bharatiya Janata Party,National Democratic Alliance,Shilbhadra Dutta,457919,36.34,|70660,|5.61
Dum Dum,Dum Dum,247858,73.81%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Saugata Roy,528579,41.95,Bharatiya Janata Party,National Democratic Alliance,Shilbhadra Dutta,457919,36.34,|70660,|5.61
Rajarhat New Town,Barasat,289075,80.17%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kakoli Ghosh Dastidar,692010,45.15,Bharatiya Janata Party,National Democratic Alliance,Swapan Majumder,577821,37.7,|114189,|7.45
