constituency,AITC+_candidate,AITC+_total_votes,AITC+_vote_share,BJP_candidate,BJP_total_votes,BJP_vote_share,Other_candidate,Other_total_votes,Other_vote_share
Katwa,RABINDRANATH CHATTERJEE,86954,36.3,KRISHNA GHOSH,122020,50.94,SANJIB KUMAR DAS,29798,12.45
Keshiary,RAMJIBAN MANDI,97826,43.7,BHADRA HEMRAM,113713,50.8,MALINA MURMU,11912,5.32
Keshpur,SEULI SAHA,143123,56.36,SUVENDU SAMANTA,93018,36.63,GURUPADA MONDAL,17213,6.77
Ketugram,SEKH SAHONAWEZ,83494,38.09,ANADI GHOSH,111104,50.69,JAKIR GAINE,23245,10.6
Khanakul,PALASH KUMAR ROY,92246,38.9,SUSANTA GHOSH,126729,53.44,SK SADDAM HOSSAIN,17188,7.24
Khandaghosh,NABIN CHANDRA BAG,104183,46.67,GOUTAM DHARA,95899,42.96,RAMJIBAN RAY,22627,10.14
Kharagpur,DINEN ROY,98320,47.14,TAPAN BHUYA,95448,45.77,SK SAJAHAN ALI,13442,6.44
Kharagpur Sadar,PRADIP SARKAR,59379,36.73,DILIP GHOSH,89885,55.6,MADHUSUDAN ROY,12119,7.5
Khardaha,DEVADEEP PUROHIT,73266,37.28,KALYAN CHAKRABORTI,97752,49.75,DEBAJYOTI DAS (SUBHO),24591,12.52
Khargram,ASHIS MARJIT,68415,33.46,MITALI MAL,77748,38.02,DHRUBAJOTI SAHA,57072,27.91
Khejuri,RABIN CHANDRA MANDAL,97185,41.12,SUBRATA PAIK,129875,54.96,HIMANGSHU DAS,8302,3.51
Kolkata Port,FIRHAD HAKIM,101226,65.43,RAKESH SINGH,45146,29.18,FAIYAZ AHMAD KHAN,7288,4.72
Krishnaganj,SAMIR KUMAR PODDAR,78939,33.96,SUKANTA BISWAS,139838,60.15,ARCHANA BISWAS,11740,5.05
Krishnanagar Dakshin,UJJAL BISWAS,75061,38.09,SADHAN GHOSH,102862,52.19,LABANI JANGI,16281,8.26
Krishnanagar Uttar,SOMNATH DUTTA,54850,27.15,TARAK NATH CHATTERJEE,133211,65.93,ADWAITA BISWAS,13996,6.93
Kulpi,BARNALI DHARA,91266,43.94,ABANI NASKAR,80883,38.94,ABDUL MALEQUE MOLLA,35202,16.95
Kultali,GANESH CHANDRA MONDAL,146435,57.75,MADHABI MAHALDER,87159,34.38,RAMSANKAR HALDER,19552,7.71
Kulti,ABHIJIT GHATAK,77072,40.51,AJAY KUMAR PODDAR,103570,54.44,BHABANI CHARAN ACHARYA,9597,5.04
